YouTubeID	ViewCount	LikeCount	DislikeCount	CommentCount	Width	Height	FrameCount	Year	MovieTitle	Title
tcRsYrEj3lQ	716879	7299	632	923	1920	1080	3272	2018	The Predator	The Predator Final Trailer (2018)
HCHroiBGohk	349195	3627	181	381	1920	1080	3254	2018	The Front Runner	The Front Runner Trailer #1 (2018)
sXKRKnBmFEU	196557	1543	189	251	1920	1080	3458	2018	First Man	First Man Trailer #2 (2018)
ilaRGckRxIk	181706	2465	100	172	1920	1080	3163	2018	Bad Times at the El Royale	Bad Times at the El Royale Trailer #2 (2018)
6Inr1RRD2P4	346320	5119	149	284	1920	1080	1681	2018	Johnny English Strikes Again	Johnny English Strikes Again Trailer #2 (2018)
TTf0Lc5YAcc	934282	5912	483	702	1920	1080	3683	2018	A Private War	A Private War Trailer #1 (2018)
AzxMcVrM-mk	119995	822	50	40	1920	1080	3361	2018	The Old Man & the Gun	The Old Man & the Gun Trailer #2 (2018)
EP3wSB_Nles	89123	391	59	36	1920	1080	1568	2018	Ben is Back	Ben is Back Teaser Trailer #1 (2018)
Pev2zsPNgdw	394835	3724	286	507	1920	1080	3618	2018	Suspiria	Suspiria Trailer #1 (2018)
gFs8nEdZCnQ	205859	2271	512	348	1920	1080	2399	2018	Goosebumps 2: Haunted Halloween	Goosebumps 2: Haunted Halloween International Trailer #1 (2018)
pqEQ3SmuPRw	253161	2879	429	172	1920	1080	3149	2018	Night School	Night School Trailer #3 (2018)
AEj9c-ytwBM	220032	1557	473	162	1920	1080	1909	2018	The Oath	The Oath Teaser Trailer #1 (2018)
1ZEuOBq0UzI	176882	2668	121	236	1920	1080	3537	2018	Widows	Widows Trailer #2 (2018)
HmsuC5AAR7s	425350	2565	409	240	1920	1080	3244	2018	The Happytime Murders	The Happytime Murders Trailer #1 (2018)
9ZS5d9l8XL0	1170951	15657	357	1143	1920	1080	3841	2018	Green Book	Green Book Trailer #1 (2018)
ttOcHmRxmQ8	521736	5615	1026	588	1920	1080	3787	2019	What Men Want	What Men Want Trailer #1 (2019)
